Title,Description,Date,End Date,Start Time,End Time,Location,Address,Contact,Website,Region,Event ID,Latitude,Longitude
Powering Up Science Gig,"This is a great event for families and the local community, showcasing the theme of Energy Evolution. It will feature interactive displays from local industry representatives and schools, and specially designed competitions, including the annual MacGyver Challenge.",13/08/2012,,6:00 PM,9:00 PM,Smithton Christian Fellowship,124 Nelson St Smithton TAS 7330,Jacki Langton 6452 4800 or email jlangton@circularhead.tas.gov.au,,North-western Tasmania,1,-40.842804,145.122414
Tasmanian Science Talent Search: Technology Challenge,The Tasmanian Science Talent Search is a competition open to Tasmanian students from all schools. The Technology Challenge involves designing and making a water wheel to lift a certain load. Students will test out their water wheels at this regional public judging session.,26/08/2012,,10:00 AM,1:00 PM,UTAS Cradle Coast campus,"16 - 20 Mooreville Road, Burnie",michael.van.der.ploeg@education.tas.gov.au,,North-western Tasmania,2,-41.057874,145.878906
UTAS Open Day,"The Cradle Coast campus throws open its doors for UTAS Open Day. Explore your options in science, engineering and technology, as well as health sciences, business, education, law and the arts. UTAS Open Day includes talks by guest speakers, demonstrations and displays, and a comprehensive expo showcasing courses, careers and research. Meet the Robogals and program a LEGO robot; find out about the importance of food production in Tasmania; or explore your study options in Psychology - just some of the many activities on offer on the day.",26/08/2012,,10:00 AM,3:00 PM,UTAS Cradle Coast campus,"16 - 20 Mooreville Road, Burnie",Sarah.Bayne@utas.edu.au,www.utas.edu.au/openday ,North-western Tasmania,3,-41.057874,145.878906
Great Moments in Science with Dr Karl,"Sometimes described as an answer looking for a question, well-known science presenter Dr Karl Kruszelnicki explains science as you've never heard it before! Dr Karl has degrees in Physics and Maths, Biomedical Engineering, Medicine and Surgery and has worked as a physicist, tutor, film-maker, car mechanic, labourer, and a medical doctor.",31/08/2012,,7:00 PM,8:00 PM,Harcombe Centre,"Marist Regional College, Paraka St, Burnie",Carrie.Smith@utas.edu.au,,North-western Tasmania,4,-41.0480455,145.8862925
Playgroup - Science of Colour,"These sessions provide an excellent opportunity for young children, parents and grandparents to explore science through play - and to discover the amazing science of colour through a variety of hands-on activities. RSVP by calling 6323 3798 or email bookings@qvmag.tas.gov.au. Places are strictly limited and booking is essential. Admission $6 Standard $5.50 Concession $5 QVMAG Friends.",08/08/2012,,10:30 AM,12:00 PM,"Queen Victoria Museum and Art Gallery (QVMAG) Creativity Centre, Art Gallery at Royal Park",2 Wellington Street LAUNCESTON TAS 7250,RSVP by calling 6323 3798 or email bookings@qvmag.tas.gov.au. ,www.qvmag.tas.gov.au,Northern Tasmania,5,-41.4375726,147.134149
Playgroup - Science of Colour,"These sessions provide an excellent opportunity for young children, parents and grandparents to explore science through play - and to discover the amazing science of colour through a variety of hands-on activities. RSVP by calling 6323 3798 or email bookings@qvmag.tas.gov.au. Places are strictly limited and booking is essential. Admission $6 Standard $5.50 Concession $5 QVMAG Friends.",15/08/2012,,10:30 AM,12:00 PM,"Queen Victoria Museum and Art Gallery (QVMAG) Creativity Centre, Art Gallery at Royal Park",2 Wellington Street LAUNCESTON TAS 7250,RSVP by calling 6323 3798 or email bookings@qvmag.tas.gov.au. ,www.qvmag.tas.gov.au,Northern Tasmania,6,-41.4375726,147.134149
Energise 2012,"Come along to QVMAG at Inveresk and explore a show, catch a tram (gold coin donation), ride a bike, work out with your friends and look at how energy-efficient your home can be. We will look at energy, how we use it now and how we will use it in the future. Take a tour with the Launceston City Council (LCC) Sustainability Officer who will show you how we set about 'Greening Inveresk', a recently completed project reduced our carbon footprint.",11/08/2012,,10:00 AM,2:00 PM,"QVMAG, Inveresk",2 Invermay Road LAUNCESTON TAS 7248 ,,www.qvmag.tas.gov.au,Northern Tasmania,7,-41.4276023,147.1424491
Crazy Critters,"Hey kids! Not sure what that bug is? Think you might have found a fossil or gemstone? Have you found an unusual plant? This is a chance for you to bring in a photo or a specimen of an unusual insect, plant, rock or mineral and have our experts identify it and tell you a bit about it. Bring your specimen to QVMAG in a clear container so it can be safely viewed.",11/08/2012,,10:00 AM,2:00 PM,"QVMAG Meeting Room, Inveresk",2 Invermay Road LAUNCESTON TAS 7248 ,,www.qvmag.tas.gov.au,Northern Tasmania,8,-41.4277736,147.1421242
Scinema,"Scinema delivers films that are interesting and intriguing to the every-day person but also informative about today's advancements in research. This year's themes include Energy, Environment, Human Health and Space. Scinema gives many filmmakers an opportunity to have their films, sometimes obscure but always terrific, seen by an Australia-wide audience. Each film program will be played on a loop.",11/08/2012,19/08/2012,10:30 AM,2:30 PM,"QVMAG, Nuala O'Flaherty Auditorium, Inveresk",2 Invermay Road LAUNCESTON TAS 7248 ,,www.qvmag.tas.gov.au,Northern Tasmania,9,-41.42807124,147.1422422
Women in Science Breakfast,"Celebrate achievements and opportunities at the Women in Science Breakfast. This informal get-together will be the chance to hear about the achievements of women in science in Tasmania and touch base with colleagues. Liz Swain, Metal Products Services and Green Carbon Superintendent, Bell Bay Aluminium; Catriona Nicholls, science communicator; and Jane Bennett, former Managing Director of Ashgrove Cheese, will each provide an insight into their scientific achievements. Admission $20 per person (includes breakfast)
RSVP by Wednesday 8 August, ph: 6323 3798 or email bookings@qvmag.tas.gov.au. Places are strictly limited and payment on booking is essential. Please also advise dietary requirements.
",13/08/2012,,8:30 AM,10:00 AM,"QVMAG Meeting Room, Inveresk",2 Invermay Road LAUNCESTON TAS 7248 ,"RSVP by Wednesday 8 August, ph: 6323 3798 or email bookings@qvmag.tas.gov.au. ",www.qvmag.tas.gov.au,Northern Tasmania,10,-41.42824822,147.141974
